name;set
com_elix_Lymphoma;set(['C81','C82','C83','C84','C85','C88','C96','C900','C902'])
#com_elix_MetastaticCancer;set(['C77','C78','C79','C80'])
com_elix_SolidTumorNoMetastasis;set(['C00','C01','C02','C03','C04','C05','C06','C07','C08','C09','C10','C11','C12','C13','C14','C15','C16','C17','C18','C19','C20','C21','C22','C23','C24','C25','C26','C30','C31','C32','C33','C34','C37','C38','C39','C40','C41','C43','C45','C46','C47','C48','C49','C50','C51','C52','C53','C54','C55','C56','C57','C58','C60','C61','C62','C63','C64','C65','C66','C67','C68','C69','C70','C71','C72','C73','C74','C75','C76','C97'])
com_elix_RheumatoidArthritis;set(['L940','L941','L943','M05','M06','M08','M120','M123','M30','M310','M311','M312','M313','M32','M33','M34','M35','M45','M461','M468','M469'])
com_elix_Coagulopathy;set(['D65','D66','D67','D68','D691','D693','D694','D695','D696'])
#com_elix_Obesity;set(['E66'])
com_elix_WeightLoss;set(['E40','E41','E42','E43','E44','E45','E46','R634','R64'])
com_elix_FluidEcletrolyteDisorders;set(['E222','E86','E87'])
com_elix_BloodLossAnemia;set(['D500'])
com_elix_DeficiencyAnemia;set(['D508','D509','D51','D52','D53'])
com_elix_AlcoholAbuse;set(['F10','E52','G621','I426','K292','K700','K703','K709','T51','Z502','Z714','Z721'])
com_elix_DrugAbuse;set(['F11','F12','F13','F14','F15','F16','F18','F19','Z715','Z722'])
com_elix_Psychoses;set(['F20','F22','F23','F24','F25','F28','F29','F302','F312','F315'])
com_elix_Depression;set(['F204','F313','F314','F315','F32','F33','F341','F412','F432'])
